Gene,Cerebrum,Cerebellum,Brainstem,Spinal cord,Kidney,Liver,Heart,Skeletal muscle,Adipose,Small intestine,Large intestine,Stomach,Placenta,Testis
Mdh2,125892541179.41661,63095734448.019424,158489319246.11108,79432823472.42822,79432823472.42822,39810717055.34969,251188643150.95822,39810717055.34969,100000000000,199526231496.88828,79432823472.42822,63095734448.019424,100000000000,39810717055.34969
Dbt,316227766.01683795,50118723.36272725,251188643.1509582,251188643.1509582,7943282347.242822,3981071705.5349693,1584893192.4611108,398107170.5534969,6309573444.801943,1584893192.4611108,1258925411.794166,7943282347.242822,1584893192.4611108,794328234.7242821
Dlat,39810717055.34969,19952623149.688828,50118723362.72715,31622776601.683792,25118864315.09582,6309573444.801943,25118864315.09582,31622776601.683792,31622776601.683792,7943282347.242822,12589254117.941662,12589254117.941662,12589254117.941662,31622776601.683792
Lrpprc,15848931924.611109,25118864315.09582,25118864315.09582,2511886431.509582,63095734448.019424,6309573444.801943,3981071705.5349693,19952623149.688828,7943282347.242822,15848931924.611109,31622776601.683792,15848931924.611109,15848931924.611109,31622776601.683792
Mrpl53,251188643.1509582,158489319.2461111,251188643.1509582,125892541.17941661,398107170.5534969,398107170.5534969,50118723.36272725,12589254.117941663,199526231.49688828,398107170.5534969,794328234.7242821,158489319.2461111,794328234.7242821,251188643.1509582
Dlst,5011872336.272715,1995262314.9688828,5011872336.272715,5011872336.272715,15848931924.611109,3981071705.5349693,12589254117.941662,5011872336.272715,7943282347.242822,19952623149.688828,3981071705.5349693,7943282347.242822,7943282347.242822,1995262314.9688828
Pdhx,1995262314.9688828,501187233.6272715,1995262314.9688828,630957344.4801943,1000000000,199526231.49688828,3162277660.1683793,1995262314.9688828,2511886431.509582,501187233.6272715,398107170.5534969,794328234.7242821,794328234.7242821,1584893192.4611108
Gfm1,794328234.7242821,630957344.4801943,630957344.4801943,794328234.7242821,3981071705.5349693,794328234.7242821,199526231.49688828,1000000000,1000000000,501187233.6272715,1258925411.794166,501187233.6272715,1584893192.4611108,398107170.5534969
Grpel1,2511886431.509582,1584893192.4611108,1995262314.9688828,1000000000,3981071705.5349693,3981071705.5349693,1584893192.4611108,100000000,1995262314.9688828,1995262314.9688828,1584893192.4611108,1000000000,6309573444.801943,1258925411.794166
Mpc2,3981071705.5349693,3162277660.1683793,6309573444.801943,2511886431.509582,25118864315.09582,10000000000,3162277660.1683793,3981071705.5349693,3981071705.5349693,3162277660.1683793,1995262314.9688828,3162277660.1683793,1995262314.9688828,10000000000
Uqcr10,6309573444.801943,3162277660.1683793,3981071705.5349693,158489319.2461111,1995262314.9688828,1584893192.4611108,398107170.5534969,501187233.6272715,794328234.7242821,3162277660.1683793,10000000,1000000000,1000000000,1995262314.9688828
Coq3,79432823.47242822,39810717.05534969,39810717.05534969,158489319.2461111,9976311.574844394,125892541.17941661,794328234.7242821,31622776.60168379,501187233.6272715,158489319.2461111,199526231.49688828,19952623.149688788,63095734.448019296,158489319.2461111
Atp5e,1995262314.9688828,1000000000,1000000000,63095734.448019296,3162277660.1683793,1258925411.794166,501187233.6272715,501187233.6272715,794328234.7242821,3162277660.1683793,6309573.44480193,1584893192.4611108,125892541.17941661,1258925411.794166
Slc25a3,39810717055.34969,19952623149.688828,63095734448.019424,39810717055.34969,39810717055.34969,15848931924.611109,50118723362.72715,10000000000,25118864315.09582,50118723362.72715,25118864315.09582,31622776601.683792,50118723362.72715,25118864315.09582
Mrpl34,63095734.448019296,31622776.60168379,31622776.60168379,7943282.347242822,19952623.149688788,50118723.36272725,10000000,3971641.173621411,39810717.05534969,100000000,125892541.17941661,12589254.117941663,79432823.47242822,79432823.47242822
Mrps15,251188643.1509582,158489319.2461111,251188643.1509582,100000000,50118723.36272725,398107170.5534969,39810717.05534969,7943282.347242822,125892541.17941661,158489319.2461111,316227766.01683795,63095734.448019296,398107170.5534969,39810717.05534969
Sdhc,1584893192.4611108,1258925411.794166,1995262314.9688828,398107170.5534969,3981071705.5349693,2511886431.509582,1584893192.4611108,1995262314.9688828,1258925411.794166,3162277660.1683793,1000000000,794328234.7242821,1995262314.9688828,2511886431.509582
Atp5b,158489319246.11108,79432823472.42822,125892541179.41661,100000000000,251188643150.95822,100000000000,398107170553.49695,158489319246.11108,158489319246.11108,316227766016.83795,125892541179.41661,251188643150.95822,158489319246.11108,50118723362.72715
Mrps23,501187233.6272715,316227766.01683795,501187233.6272715,251188643.1509582,316227766.01683795,316227766.01683795,100000000,39810717.05534969,501187233.6272715,316227766.01683795,1584893192.4611108,125892541.17941661,501187233.6272715,199526231.49688828
Etfa,5011872336.272715,1995262314.9688828,7943282347.242822,7943282347.242822,63095734448.019424,50118723362.72715,100000000000,3981071705.5349693,63095734448.019424,25118864315.09582,31622776601.683792,19952623149.688828,31622776601.683792,12589254117.941662
Fh1,5011872336.272715,1000000000,5011872336.272715,5011872336.272715,25118864315.09582,3162277660.1683793,31622776601.683792,10000000000,12589254117.941662,25118864315.09582,7943282347.242822,15848931924.611109,15848931924.611109,3162277660.1683793
Mrps27,79432823.47242822,19952623.149688788,25118864.315095823,100000000,199526231.49688828,63095734.448019296,9976311.574844394,50118723.36272725,251188643.1509582,630957344.4801943,501187233.6272715,199526231.49688828,630957344.4801943,199526231.49688828
Isca1,630957344.4801943,316227766.01683795,398107170.5534969,316227766.01683795,9976311.574844394,31622776.60168379,50118723.36272725,19952623.149688788,100000000,79432823.47242822,79432823.47242822,50118723.36272725,630957344.4801943,630957344.4801943
Idh3a,39810717055.34969,19952623149.688828,63095734448.019424,19952623149.688828,31622776601.683792,2511886431.509582,39810717055.34969,31622776601.683792,31622776601.683792,19952623149.688828,15848931924.611109,7943282347.242822,19952623149.688828,7943282347.242822
Ndufs1,50118723362.72715,31622776601.683792,50118723362.72715,39810717055.34969,79432823472.42822,12589254117.941662,39810717055.34969,50118723362.72715,25118864315.09582,31622776601.683792,25118864315.09582,31622776601.683792,15848931924.611109,7943282347.242822
Auh,5011872336.272715,2511886431.509582,7943282347.242822,7943282347.242822,1584893192.4611108,1584893192.4611108,1584893192.4611108,100000000,3162277660.1683793,501187233.6272715,251188643.1509582,1995262314.9688828,1258925411.794166,1000000000
Afg3l2,3162277660.1683793,3981071705.5349693,3162277660.1683793,1995262314.9688828,6309573444.801943,1584893192.4611108,794328234.7242821,794328234.7242821,3162277660.1683793,2511886431.509582,5011872336.272715,1000000000,1995262314.9688828,2511886431.509582
Pmpca,316227766.01683795,158489319.2461111,158489319.2461111,316227766.01683795,1584893192.4611108,251188643.1509582,251188643.1509582,251188643.1509582,2511886431.509582,1258925411.794166,794328234.7242821,501187233.6272715,6309573444.801943,1995262314.9688828
Cox11,15848931.924611142,19952623.149688788,397164.1173621411,15848931.924611142,397164.1173621411,397164.1173621411,397164.1173621411,794328.2347242822,397164.1173621411,397164.1173621411,15848931.924611142,397164.1173621411,19952623.149688788,397164.1173621411
Sucla2,7943282347.242822,2511886431.509582,10000000000,7943282347.242822,7943282347.242822,6309573444.801943,25118864315.09582,10000000000,6309573444.801943,19952623149.688828,5011872336.272715,7943282347.242822,6309573444.801943,25118864315.09582
Lars2,630957344.4801943,501187233.6272715,398107170.5534969,39810717.05534969,2511886431.509582,63095734.448019296,100000000,501187233.6272715,630957344.4801943,5011872.336272725,1000000000,158489319.2461111,316227766.01683795,398107170.5534969
Atp5o,79432823472.42822,63095734448.019424,100000000000,39810717055.34969,63095734448.019424,50118723362.72715,79432823472.42822,15848931924.611109,31622776601.683792,50118723362.72715,50118723362.72715,39810717055.34969,31622776601.683792,15848931924.611109
Mrpl46,79432823.47242822,25118864.315095823,12559432.157547912,100000000,158489319.2461111,251188643.1509582,39810717.05534969,12559432.157547912,158489319.2461111,199526231.49688828,251188643.1509582,12559432.157547912,794328234.7242821,316227766.01683795
Cox15,39810717.05534969,7924465.962305571,39810717.05534969,15848931.924611142,79432823.47242822,63095734.448019296,7924465.962305571,7924465.962305571,50118723.36272725,79432823.47242822,158489319.2461111,63095734.448019296,501187233.6272715,125892541.17941661
Higd2a,398107170.5534969,398107170.5534969,125892541.17941661,158489319.2461111,316227766.01683795,50118723.36272725,100000000,39810717.05534969,39810717.05534969,100000000,1000000000,316227766.01683795,125892541.17941661,31622776.60168379
Uqcrh,2511886431.509582,1995262314.9688828,3981071705.5349693,1584893192.4611108,501187233.6272715,1995262314.9688828,3162277660.1683793,1258925411.794166,3981071705.5349693,7943282347.242822,5011872336.272715,2511886431.509582,1584893192.4611108,2511886431.509582
Etfdh,3162277660.1683793,1000000000,3162277660.1683793,2511886431.509582,25118864315.09582,31622776601.683792,31622776601.683792,10000000000,12589254117.941662,12589254117.941662,7943282347.242822,10000000000,6309573444.801943,7943282347.242822
Timm10,501187233.6272715,316227766.01683795,199526231.49688828,100000000,2505936.1681363625,199526231.49688828,2505936.1681363625,5011872.336272725,316227766.01683795,501187233.6272715,199526231.49688828,50118723.36272725,158489319.2461111,158489319.2461111
Echs1,15848931924.611109,6309573444.801943,19952623149.688828,10000000000,15848931924.611109,39810717055.34969,19952623149.688828,630957344.4801943,31622776601.683792,7943282347.242822,12589254117.941662,12589254117.941662,10000000000,12589254117.941662
Hadha,15848931924.611109,15848931924.611109,31622776601.683792,31622776601.683792,79432823472.42822,100000000000,158489319246.11108,63095734448.019424,79432823472.42822,79432823472.42822,79432823472.42822,63095734448.019424,50118723362.72715,50118723362.72715
Bckdha,25118864.315095823,6294627.058970831,6294627.058970831,12589254.117941663,630957344.4801943,1995262314.9688828,398107170.5534969,63095734.448019296,1995262314.9688828,6294627.058970831,63095734.448019296,3162277660.1683793,31622776.60168379,100000000
Suclg1,7943282347.242822,2511886431.509582,10000000000,10000000000,10000000000,10000000000,25118864315.09582,1584893192.4611108,7943282347.242822,12589254117.941662,15848931924.611109,5011872336.272715,10000000000,15848931924.611109
Cs,25118864315.09582,10000000000,19952623149.688828,15848931924.611109,12589254117.941662,10000000000,63095734448.019424,25118864315.09582,25118864315.09582,50118723362.72715,15848931924.611109,31622776601.683792,25118864315.09582,15848931924.611109
